"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.616613125E0,-3.902902603E-1,-2.098381281E0,1.511027336E0
3.626614125E0,-4.715733528E-1,-2.292755604E0,1.427109122E0
3.636615125E0,-4.770320356E-1,-2.386369467E0,1.274922013E0
3.646616125E0,-3.858084977E-1,-2.341917753E0,1.088122606E0
3.656618125E0,-2.437799871E-1,-2.152539253E0,9.092130065E-1
3.666619125E0,-1.195342690E-1,-1.806361079E0,7.937291265E-1
3.676620125E0,-6.687878072E-2,-1.344232321E0,7.523907423E-1
3.686621125E0,-9.514478594E-2,-8.625215292E-1,7.573412657E-1
3.696622125E0,-1.814796776E-1,-4.730570912E-1,7.893197536E-1
3.706623125E0,-2.588065267E-1,-2.116266340E-1,8.152961135E-1
3.716625125E0,-2.773053646E-1,-6.187202409E-2,7.935855389E-1
3.726626125E0,-2.576428354E-1,2.098144405E-2,7.076020241E-1
3.736627125E0,-2.590045035E-1,1.142727807E-1,5.796698928E-1
3.746628125E0,-3.146223724E-1,2.601170838E-1,4.564889669E-1
3.756629125E0,-4.521341622E-1,4.479780793E-1,3.856773674E-1
3.766630125E0,-6.236571074E-1,6.199833751E-1,3.691185117E-1
3.776631125E0,-7.218379974E-1,7.236940861E-1,3.429454863E-1
3.786633125E0,-6.905087233E-1,7.550126314E-1,2.549630404E-1
3.796634125E0,-5.706757903E-1,7.195947170E-1,1.040209383E-1
3.806635125E0,-4.705697000E-1,6.301316023E-1,-4.872602969E-2
3.816636125E0,-4.756864309E-1,5.352729559E-1,-1.647775471E-1
3.826637125E0,-5.966427922E-1,4.417516589E-1,-2.265963405E-1
3.836638125E0,-7.599427700E-1,3.862255514E-1,-2.267537266E-1
3.846640125E0,-8.734471202E-1,3.560630083E-1,-2.110970914E-1
3.856641125E0,-9.054551125E-1,2.945634127E-1,-2.470859885E-1
3.866642125E0,-9.067847729E-1,1.572543532E-1,-3.601638079E-1
3.876643125E0,-9.610033035E-1,-6.474674493E-2,-5.144079328E-1
